Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,files
60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.08887395884587557,0.10644955291957846,0.23764638729290496,0.17233465935833867,0.0,0.17915572369167862,0.12885524574165305,0.0803149482652288,0.14174360945680473,0.0806001968432381,0.08051685624653865,0.08762048297099045,0.06001155769400934,N1 R0 60C sample 3_Subt2__0__12-27-19-733.csv
60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.07132414109391529,0.14697091158084516,0.2594376970516881,0.16318509297954234,0.1492881973481945,0.16137211049371866,0.15883316070700776,0.0,0.18893109354290047,0.18885406031967508,0.15317005290630772,0.14883651175003584,0.15521649570761956,N1 R0 60C sample 4_Subt2__0__12-28-50-232.csv
30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.08225846705902805,0.09834867227624454,0.21074942640491282,0.17238556940200878,0.1540695502363939,0.12462266726639186,0.12001488935996113,0.13238347883111756,0.1322712474596594,0.13356195214855845,0.15004379801940218,0.1499529842689725,0.2394242342664075,N1 R0 60C sample 7_Subt2__0__11-58-42-273.csv
30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.30189853077042167,0.3395654767690153,0.29733048954785846,0.0,0.2632495439531291,0.28787414713334664,0.28746899383329777,0.0,0.0,0.0,0.3900948072979114,0.39365053709985215,N1 R0 60C sample 8_Subt2__0__11-59-10-772.csv
5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.13929263348740187,0.21298568837869433,0.32262074809358954,0.23779507937448885,0.0,0.15706986857260238,0.1276790926881424,0.12871255738633358,0.12857605738312985,0.15411079493888794,0.0,0.0,0.225542094326912,N1 R0 60C sample 11_Subt2__0__11-37-12-802.csv
5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.24348134460471893,0.31539404764839857,0.21971890624877474,0.1688278330354274,0.14001046410322887,0.1303835651790006,0.1303151004735089,0.11655055151560632,0.1164466974856706,0.1348555721097776,0.1347497495844235,0.14921468480395128,N1 R0 60C sample 12_Subt2__0__11-37-34-301.csv
60.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.22096901892704293,0.38042980225399764,0.2945933955393101,0.0,0.2623922728057016,0.0,0.0,0.18632590445637542,0.1861815969629154,0.19613834561082896,0.20419807458504757,N1R0 105C sample 3_Subt2__0__13-39-09-638.csv
60.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.24432391801815198,0.31514752954577635,0.24158385403764138,0.2419459043282207,0.18592508961565038,0.11523429728551754,0.18131883334474672,0.17532411511629867,0.11944323229987479,0.12507165240732931,0.14284329151310873,N1R0 105C sample 4_Subt2__0__13-39-54-139.csv
30.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.15355108208855575,0.2880376731576975,0.27331840465404106,0.2607340417448736,0.18545409485382894,0.16762375002086546,0.16752430606013904,0.11692701168777947,0.14398647179276655,0.1416994601722059,0.13879741873179183,N1R0 105C sample 7_Subt2__0__13-12-51-672.csv
30.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.20638812482869218,0.36375932102730785,0.2528860476027824,0.0,0.19569762458337228,0.143424795338656,0.1669662503966193,0.14866460122130537,0.14281152756164486,0.15011696779996953,0.15610215501765193,N1R0 105C sample 8_Subt2__0__13-13-29-673.csv
